it, fluid_time_nodiff(ms), fluid_time (ms), bcs_time (ms), intvar_time (ms), intvar_time_nodiff (ms), intvar_bcs_time (ms), d2h_time (ms), fluid_threads, bcs_threads, intvar_threads, intvar_bcs_threads
0,838.977,1306.23,819.14,2382.41,1799.06,5262.66,115.629,216,216,216,216
1,803.684,1312.66,755.737,2066.09,1630.69,4200.55,93.4108,216,216,216,216
2,668.53,1095.03,665.759,2076.19,1601.22,4706.11,106.834,216,216,216,216
3,754.651,1237.21,771.102,2131.8,1691.05,4682.1,114.964,216,216,216,216
4,769.636,1153.16,678.93,1907.94,1507.92,4456.21,105.574,216,216,216,216
5,755.278,1182.66,686.715,2093.93,1633.15,4630.69,94.1767,216,216,216,216
