it, fluid_time (ms), bcs_time (ms), intvar_time (ms), intvar_bcs_time (ms), fluid_threads, bcs_threads, intvar_threads, intvar_bcs_threads
0,777.665,4866.98,1390.95,0,64,64,512,512
1,775.457,4868.79,1390.14,0,64,64,512,512
2,778.389,4910.79,1409.43,0,64,64,512,512
3,864.392,5027.14,1517.74,0,64,64,512,512
4,843.383,5122.17,1512.18,0,64,64,512,512
