it, fluid_time_nodiff(ms), fluid_time (ms), bcs_time (ms), intvar_time (ms), intvar_time_nodiff (ms), intvar_bcs_time (ms), d2h_time (ms), fluid_threads, bcs_threads, intvar_threads, intvar_bcs_threads
0,744.749,1256.56,754.64,2209.62,1725.43,43.2805,107.151,216,216,216,216
1,787.427,1195.72,797.286,2182.88,1681.26,42.4694,106.717,216,216,216,216
2,806.464,1263.46,811.023,2243.21,1733.42,45.706,114.624,216,216,216,216
3,776.809,1272.16,781.349,2244.34,1727.88,44.1813,109.759,216,216,216,216
4,774.771,1271.07,777.855,2204.39,1708.94,43.0232,105.217,216,216,216,216
