it, fluid_time (ms), bcs_time (ms), intvar_time (ms), intvar_bcs_time (ms), fluid_threads, bcs_threads, intvar_threads, intvar_bcs_threads
0,1242.88,790.926,2249.79,5010.18,216,216,216,216
1,1281.38,771.321,2198.67,4935.1,216,216,216,216
