it, fluid_time_nodiff(ms), fluid_time (ms), bcs_time (ms), intvar_time (ms), intvar_time_nodiff (ms), intvar_bcs_time (ms), d2h_time (ms), fluid_threads, bcs_threads, intvar_threads, intvar_bcs_threads
0,12.3391,20.1639,105.29,35.736,28.0952,828.786,1.85033,216,216,216,216
1,12.8658,20.9739,104.448,35.94,27.95,833.431,1.77194,216,216,216,216
2,13.149,20.9058,106.47,36.3533,28.2134,816.9,1.74696,216,216,216,216
3,12.9358,20.6528,105.883,36.2499,28.1953,834.124,1.79394,216,216,216,216
4,13.1417,20.9098,105.701,36.3533,28.4527,826.726,1.74643,216,216,216,216
5,13.0227,20.8543,104.109,36.6605,28.3967,837.657,2.81185,216,216,216,216
6,12.7529,20.8332,107.114,35.6356,28.028,846.639,2.02322,216,216,216,216
7,13.769,22.4217,112.206,35.9357,28.0983,830.814,1.83234,216,216,216,216
8,12.7886,20.1298,105.604,36.8276,28.5496,798.104,2.39767,216,216,216,216
9,13.7765,21.9069,110.147,37.7891,29.0493,878.173,2.15273,216,216,216,216
