i,j,k
19,36,0
21,40,0
22,41,0
23,42,0
24,43,0
25,37,0
26,38,0
27,39,0
29,40,0
40,21,0
41,22,0
42,23,0
43,24,0
18,28,1
19,26,1
19,36,1
19,37,1
30,18,1
35,18,1
35,24,1
39,36,1
40,30,1
19,29,2
28,40,2
20,38,62
21,40,62
22,41,62
23,42,62
24,35,62
43,24,62
19,36,63
21,40,63
22,41,63
23,42,63
24,43,63
25,37,63
26,38,63
27,39,63
29,40,63
40,21,63
41,22,63
42,23,63
43,24,63
18,28,0
18,29,0
18,30,0
18,31,0
18,32,0
18,33,0
18,34,0
18,35,0
19,26,0
19,27,0
19,37,0
20,25,0
20,39,0
21,24,0
22,23,0
23,22,0
24,21,0
25,20,0
26,19,0
27,19,0
28,18,0
29,18,0
30,18,0
31,18,0
32,18,0
33,18,0
34,18,0
35,18,0
35,40,0
37,19,0
37,39,0
38,38,0
39,20,0
39,37,0
40,35,0
18,29,1
19,27,1
19,38,1
22,23,1
24,35,1
25,20,1
25,37,1
26,19,1
26,38,1
27,19,1
27,39,1
28,18,1
28,39,1
29,18,1
29,40,1
30,40,1
31,18,1
31,40,1
32,18,1
32,40,1
33,18,1
33,40,1
34,18,1
34,40,1
35,40,1
36,18,1
36,39,1
37,19,1
37,39,1
38,19,1
39,20,1
39,28,1
40,21,1
40,31,1
40,32,1
40,33,1
40,34,1
41,22,1
42,23,1
43,24,1
19,30,2
19,31,2
19,32,2
19,33,2
19,34,2
19,35,2
27,39,2
29,40,2
32,19,2
39,27,2
40,29,2
19,36,62
24,43,62
25,37,62
26,38,62
27,39,62
29,40,62
32,41,62
33,41,62
34,41,62
35,24,62
36,19,62
37,19,62
37,25,62
38,20,62
38,26,62
39,20,62
39,27,62
40,21,62
40,29,62
41,22,62
41,31,62
41,32,62
41,33,62
41,34,62
42,23,62
44,25,62
18,28,63
18,29,63
18,30,63
18,31,63
18,32,63
18,33,63
18,34,63
18,35,63
19,26,63
19,27,63
19,37,63
20,25,63
20,39,63
21,24,63
22,23,63
23,22,63
24,21,63
25,20,63
26,19,63
27,19,63
28,18,63
29,18,63
30,18,63
31,18,63
32,18,63
33,18,63
34,18,63
35,18,63
35,40,63
37,19,63
37,39,63
38,38,63
39,20,63
39,37,63
40,35,63
24,28,0
24,29,0
24,30,0
24,31,0
24,32,0
24,33,0
24,34,0
24,35,0
25,26,0
25,27,0
25,28,0
25,29,0
25,30,0
25,31,0
25,32,0
25,33,0
25,34,0
25,35,0
25,36,0
26,25,0
26,26,0
26,27,0
26,28,0
26,29,0
26,30,0
26,31,0
26,32,0
26,33,0
26,34,0
26,35,0
26,36,0
26,37,0
27,25,0
27,26,0
27,27,0
27,28,0
27,29,0
27,30,0
27,31,0
27,32,0
27,33,0
27,34,0
27,35,0
27,36,0
27,37,0
27,38,0
28,24,0
28,25,0
28,26,0
28,27,0
28,28,0
28,29,0
28,30,0
28,31,0
28,32,0
28,33,0
28,34,0
28,35,0
28,36,0
28,37,0
28,38,0
28,39,0
29,24,0
29,25,0
29,26,0
29,27,0
29,28,0
29,29,0
29,30,0
29,31,0
29,32,0
29,33,0
29,34,0
29,35,0
29,36,0
29,37,0
29,38,0
29,39,0
30,24,0
30,25,0
30,26,0
30,27,0
30,28,0
30,29,0
30,30,0
30,31,0
30,32,0
30,33,0
30,34,0
30,35,0
30,36,0
30,37,0
30,38,0
30,39,0
30,40,0
31,24,0
31,25,0
31,26,0
31,27,0
31,28,0
31,29,0
31,30,0
31,31,0
31,32,0
31,33,0
31,34,0
31,35,0
31,36,0
31,37,0
31,38,0
31,39,0
31,40,0
32,24,0
32,25,0
32,26,0
32,27,0
32,28,0
32,29,0
32,30,0
32,31,0
32,32,0
32,33,0
32,34,0
32,35,0
32,36,0
32,37,0
32,38,0
32,39,0
32,40,0
33,24,0
33,25,0
33,26,0
33,27,0
33,28,0
33,29,0
33,30,0
33,31,0
33,32,0
33,33,0
33,34,0
33,35,0
33,36,0
33,37,0
33,38,0
33,39,0
33,40,0
34,24,0
34,25,0
34,26,0
34,27,0
34,28,0
34,29,0
34,30,0
34,31,0
34,32,0
34,33,0
34,34,0
34,35,0
34,36,0
34,37,0
34,38,0
34,39,0
34,40,0
35,24,0
35,25,0
35,26,0
35,27,0
35,28,0
35,29,0
35,30,0
35,31,0
35,32,0
35,33,0
35,34,0
35,35,0
35,36,0
35,37,0
35,38,0
35,39,0
36,25,0
36,26,0
36,27,0
36,28,0
36,29,0
36,30,0
36,31,0
36,32,0
36,33,0
36,34,0
36,35,0
36,36,0
36,37,0
36,38,0
37,26,0
37,27,0
37,28,0
37,29,0
37,30,0
37,31,0
37,32,0
37,33,0
37,34,0
37,35,0
37,36,0
37,37,0
37,38,0
38,27,0
38,28,0
38,29,0
38,30,0
38,31,0
38,32,0
38,33,0
38,34,0
38,35,0
38,36,0
38,37,0
39,28,0
39,29,0
39,30,0
39,31,0
39,32,0
39,33,0
39,34,0
39,35,0
39,36,0
40,30,0
40,31,0
40,32,0
40,33,0
40,34,0
18,36,1
24,28,1
24,30,1
24,31,1
24,32,1
25,33,1
25,34,1
25,35,1
25,36,1
26,26,1
26,27,1
26,29,1
26,30,1
26,31,1
26,32,1
26,33,1
26,34,1
26,35,1
26,36,1
26,37,1
27,26,1
27,27,1
27,29,1
27,30,1
27,35,1
27,36,1
27,37,1
27,38,1
28,24,1
28,26,1
28,27,1
28,29,1
28,37,1
28,38,1
29,24,1
29,26,1
29,27,1
29,29,1
29,38,1
29,39,1
30,24,1
30,26,1
30,27,1
30,29,1
30,38,1
30,39,1
31,24,1
31,26,1
31,29,1
31,39,1
32,24,1
32,26,1
32,29,1
32,39,1
33,24,1
33,26,1
33,29,1
33,36,1
33,39,1
34,26,1
34,29,1
34,36,1
34,38,1
34,39,1
35,26,1
35,27,1
35,29,1
35,36,1
35,38,1
35,39,1
36,26,1
36,27,1
36,29,1
36,36,1
36,38,1
37,27,1
37,29,1
37,36,1
37,38,1
38,29,1
38,30,1
38,34,1
38,35,1
38,36,1
39,30,1
39,31,1
39,32,1
39,33,1
39,34,1
39,35,1
18,36,2
19,37,2
19,38,2
20,39,2
21,40,2
22,41,2
23,42,2
24,28,2
24,29,2
24,30,2
24,31,2
24,32,2
24,33,2
24,34,2
24,35,2
25,26,2
25,27,2
25,28,2
25,29,2
25,30,2
25,31,2
25,32,2
25,33,2
25,34,2
25,35,2
25,36,2
25,37,2
26,25,2
26,26,2
26,27,2
26,28,2
26,29,2
26,30,2
26,31,2
26,32,2
26,33,2
26,34,2
26,35,2
26,36,2
26,37,2
26,38,2
27,25,2
27,26,2
27,27,2
27,28,2
27,29,2
27,30,2
27,31,2
27,32,2
27,33,2
27,34,2
27,35,2
27,36,2
27,37,2
27,38,2
28,24,2
28,25,2
28,26,2
28,27,2
28,28,2
28,29,2
28,30,2
28,31,2
28,32,2
28,33,2
28,34,2
28,35,2
28,36,2
28,37,2
28,38,2
28,39,2
29,24,2
29,25,2
29,26,2
29,27,2
29,28,2
29,29,2
29,30,2
29,31,2
29,32,2
29,33,2
29,34,2
29,35,2
29,36,2
29,37,2
29,38,2
29,39,2
30,24,2
30,25,2
30,26,2
30,27,2
30,28,2
30,29,2
30,30,2
30,31,2
30,32,2
30,33,2
30,34,2
30,35,2
30,36,2
30,37,2
30,38,2
30,39,2
30,40,2
31,24,2
31,25,2
31,26,2
31,27,2
31,28,2
31,29,2
31,30,2
31,31,2
31,32,2
31,33,2
31,34,2
31,35,2
31,36,2
31,37,2
31,38,2
31,39,2
31,40,2
32,24,2
32,25,2
32,26,2
32,27,2
32,28,2
32,29,2
32,30,2
32,31,2
32,32,2
32,33,2
32,34,2
32,35,2
32,36,2
32,37,2
32,38,2
32,39,2
32,40,2
33,24,2
33,25,2
33,26,2
33,27,2
33,28,2
33,29,2
33,30,2
33,31,2
33,32,2
33,33,2
33,34,2
33,35,2
33,36,2
33,37,2
33,38,2
33,39,2
33,40,2
34,24,2
34,25,2
34,26,2
34,27,2
34,28,2
34,29,2
34,30,2
34,31,2
34,32,2
34,33,2
34,34,2
34,35,2
34,36,2
34,37,2
34,38,2
34,39,2
34,40,2
35,24,2
35,25,2
35,26,2
35,27,2
35,28,2
35,29,2
35,30,2
35,31,2
35,32,2
35,33,2
35,34,2
35,35,2
35,36,2
35,37,2
35,38,2
35,39,2
36,18,2
36,25,2
36,26,2
36,27,2
36,28,2
36,29,2
36,30,2
36,31,2
36,32,2
36,33,2
36,34,2
36,35,2
36,36,2
36,37,2
36,38,2
36,39,2
37,19,2
37,25,2
37,26,2
37,27,2
37,28,2
37,29,2
37,30,2
37,31,2
37,32,2
37,33,2
37,34,2
37,35,2
37,36,2
37,37,2
37,38,2
38,19,2
38,26,2
38,27,2
38,28,2
38,29,2
38,30,2
38,31,2
38,32,2
38,33,2
38,34,2
38,35,2
38,36,2
38,37,2
39,20,2
39,28,2
39,29,2
39,30,2
39,31,2
39,32,2
39,33,2
39,34,2
39,35,2
39,36,2
40,21,2
40,30,2
40,31,2
40,32,2
40,33,2
40,34,2
41,22,2
42,23,2
18,28,3
18,29,3
18,30,3
18,31,3
18,32,3
18,33,3
18,34,3
18,35,3
18,36,3
19,26,3
19,27,3
19,29,3
19,30,3
19,31,3
19,32,3
19,33,3
19,34,3
19,37,3
19,38,3
20,25,3
20,26,3
20,27,3
20,28,3
20,30,3
20,31,3
20,32,3
20,33,3
20,34,3
20,38,3
20,39,3
21,24,3
21,25,3
21,26,3
21,36,3
21,40,3
22,23,3
22,24,3
22,25,3
22,41,3
23,22,3
23,23,3
23,24,3
23,42,3
24,21,3
24,22,3
24,23,3
24,30,3
24,32,3
24,34,3
24,43,3
25,20,3
25,21,3
25,22,3
25,26,3
25,28,3
25,29,3
25,31,3
25,32,3
25,34,3
25,36,3
26,19,3
26,20,3
26,21,3
26,25,3
26,27,3
26,28,3
26,30,3
26,33,3
26,35,3
26,37,3
26,41,3
27,19,3
27,20,3
27,26,3
27,27,3
27,29,3
27,31,3
27,32,3
27,33,3
27,34,3
27,36,3
27,38,3
28,18,3
28,20,3
28,25,3
28,26,3
28,29,3
28,33,3
28,35,3
28,37,3
28,39,3
28,42,3
29,18,3
29,19,3
29,25,3
29,27,3
29,28,3
29,30,3
29,31,3
29,32,3
29,34,3
29,36,3
29,38,3
29,40,3
30,18,3
30,19,3
30,20,3
30,24,3
30,26,3
30,29,3
30,30,3
30,33,3
30,35,3
30,37,3
30,39,3
31,18,3
31,19,3
31,20,3
31,25,3
31,27,3
31,29,3
31,31,3
31,32,3
31,36,3
31,38,3
32,18,3
32,19,3
32,20,3
32,24,3
32,25,3
32,27,3
32,29,3
32,31,3
32,32,3
32,34,3
32,37,3
32,39,3
33,18,3
33,19,3
33,20,3
33,26,3
33,27,3
33,28,3
33,30,3
33,33,3
33,35,3
33,37,3
33,38,3
34,18,3
34,19,3
34,20,3
34,24,3
34,25,3
34,27,3
34,29,3
34,32,3
34,34,3
34,36,3
34,37,3
34,39,3
35,18,3
35,26,3
35,28,3
35,30,3
35,33,3
35,35,3
35,37,3
35,38,3
35,42,3
36,18,3
36,21,3
36,25,3
36,27,3
36,29,3
36,31,3
36,34,3
36,36,3
36,37,3
37,19,3
37,26,3
37,28,3
37,30,3
37,32,3
37,33,3
37,34,3
37,35,3
37,36,3
37,38,3
38,19,3
38,20,3
38,27,3
38,29,3
38,31,3
38,33,3
38,35,3
38,37,3
39,20,3
39,28,3
39,30,3
39,32,3
39,34,3
40,21,3
40,29,3
41,22,3
41,26,3
42,23,3
42,28,3
42,35,3
43,24,3
18,28,4
18,29,4
18,30,4
18,31,4
18,32,4
18,33,4
18,34,4
18,35,4
18,36,4
19,26,4
19,27,4
19,29,4
19,30,4
19,31,4
19,32,4
19,33,4
19,34,4
19,37,4
19,38,4
20,25,4
20,26,4
20,27,4
20,28,4
20,30,4
20,31,4
20,32,4
20,33,4
20,34,4
20,38,4
20,39,4
21,24,4
21,25,4
21,26,4
21,36,4
21,40,4
22,23,4
22,24,4
22,25,4
22,41,4
23,22,4
23,23,4
23,24,4
23,42,4
24,21,4
24,22,4
24,23,4
24,30,4
24,32,4
24,34,4
24,43,4
25,20,4
25,21,4
25,22,4
25,26,4
25,28,4
25,29,4
25,31,4
25,32,4
25,34,4
25,36,4
26,19,4
26,20,4
26,21,4
26,25,4
26,27,4
26,28,4
26,30,4
26,33,4
26,35,4
26,37,4
26,41,4
27,19,4
27,20,4
27,26,4
27,27,4
27,29,4
27,31,4
27,32,4
27,33,4
27,34,4
27,36,4
27,38,4
28,18,4
28,20,4
28,25,4
28,26,4
28,29,4
28,33,4
28,35,4
28,37,4
28,39,4
28,42,4
29,18,4
29,19,4
29,25,4
29,27,4
29,28,4
29,30,4
29,31,4
29,32,4
29,34,4
29,36,4
29,38,4
29,40,4
30,18,4
30,19,4
30,20,4
30,24,4
30,26,4
30,29,4
30,30,4
30,33,4
30,35,4
30,37,4
30,39,4
31,18,4
31,19,4
31,20,4
31,25,4
31,27,4
31,29,4
31,31,4
31,32,4
31,36,4
31,38,4
32,18,4
32,19,4
32,20,4
32,24,4
32,25,4
32,27,4
32,29,4
32,31,4
32,32,4
32,34,4
32,37,4
32,39,4
33,18,4
33,19,4
33,20,4
33,26,4
33,27,4
33,28,4
33,30,4
33,33,4
33,35,4
33,37,4
33,38,4
34,18,4
34,19,4
34,20,4
34,24,4
34,25,4
34,27,4
34,29,4
34,32,4
34,34,4
34,36,4
34,37,4
34,39,4
35,18,4
35,26,4
35,28,4
35,30,4
35,33,4
35,35,4
35,37,4
35,38,4
35,42,4
36,18,4
36,21,4
36,25,4
36,27,4
36,29,4
36,31,4
36,34,4
36,36,4
36,37,4
37,19,4
37,26,4
37,28,4
37,30,4
37,32,4
37,33,4
37,34,4
37,35,4
37,36,4
37,38,4
38,19,4
38,20,4
38,27,4
38,29,4
38,31,4
38,33,4
38,35,4
38,37,4
39,20,4
39,28,4
39,30,4
39,32,4
39,34,4
40,21,4
40,29,4
41,22,4
41,26,4
42,23,4
42,28,4
42,35,4
43,24,4
18,28,5
18,29,5
18,30,5
18,31,5
18,32,5
18,33,5
18,34,5
18,35,5
18,36,5
19,26,5
19,27,5
19,29,5
19,30,5
19,31,5
19,32,5
19,33,5
19,34,5
19,37,5
19,38,5
20,25,5
20,26,5
20,27,5
20,28,5
20,30,5
20,31,5
20,32,5
20,33,5
20,34,5
20,38,5
20,39,5
21,24,5
21,25,5
21,26,5
21,36,5
21,40,5
22,23,5
22,24,5
22,25,5
22,41,5
23,22,5
23,23,5
23,24,5
23,42,5
24,21,5
24,22,5
24,23,5
24,30,5
24,32,5
24,34,5
24,43,5
25,20,5
25,21,5
25,22,5
25,26,5
25,28,5
25,29,5
25,31,5
25,32,5
25,34,5
25,36,5
26,19,5
26,20,5
26,21,5
26,25,5
26,27,5
26,28,5
26,30,5
26,33,5
26,35,5
26,37,5
26,41,5
27,19,5
27,20,5
27,26,5
27,27,5
27,29,5
27,31,5
27,32,5
27,33,5
27,34,5
27,36,5
27,38,5
28,18,5
28,20,5
28,25,5
28,26,5
28,29,5
28,33,5
28,35,5
28,37,5
28,39,5
28,42,5
29,18,5
29,19,5
29,25,5
29,27,5
29,28,5
29,30,5
29,31,5
29,32,5
29,34,5
29,36,5
29,38,5
29,40,5
30,18,5
30,19,5
30,20,5
30,24,5
30,26,5
30,29,5
30,30,5
30,33,5
30,35,5
30,37,5
30,39,5
31,18,5
31,19,5
31,20,5
31,25,5
31,27,5
31,29,5
31,31,5
31,32,5
31,36,5
31,38,5
32,18,5
32,19,5
32,20,5
32,24,5
32,25,5
32,27,5
32,29,5
32,31,5
32,32,5
32,34,5
32,37,5
32,39,5
33,18,5
33,19,5
33,20,5
33,26,5
33,27,5
33,28,5
33,30,5
33,33,5
33,35,5
33,37,5
33,38,5
34,18,5
34,19,5
34,20,5
34,24,5
34,25,5
34,27,5
34,29,5
34,32,5
34,34,5
34,36,5
34,37,5
34,39,5
35,18,5
35,26,5
35,28,5
35,30,5
35,33,5
35,35,5
35,37,5
35,38,5
35,42,5
36,18,5
36,21,5
36,25,5
36,27,5
36,29,5
36,31,5
36,34,5
36,36,5
36,37,5
37,19,5
37,26,5
37,28,5
37,30,5
37,32,5
37,33,5
37,34,5
37,35,5
37,36,5
37,38,5
38,19,5
38,20,5
38,27,5
38,29,5
38,31,5
38,33,5
38,35,5
38,37,5
39,20,5
39,28,5
39,30,5
39,32,5
39,34,5
40,21,5
40,29,5
41,22,5
41,26,5
42,23,5
42,28,5
42,35,5
43,24,5
18,28,6
18,29,6
18,30,6
18,31,6
18,32,6
18,33,6
18,34,6
18,35,6
18,36,6
19,26,6
19,27,6
19,29,6
19,30,6
19,31,6
19,32,6
19,33,6
19,34,6
19,37,6
19,38,6
20,25,6
20,26,6
20,27,6
20,28,6
20,30,6
20,31,6
20,32,6
20,33,6
20,34,6
20,38,6
20,39,6
21,24,6
21,25,6
21,26,6
21,36,6
21,40,6
22,23,6
22,24,6
22,25,6
22,41,6
23,22,6
23,23,6
23,24,6
23,42,6
24,21,6
24,22,6
24,23,6
24,30,6
24,32,6
24,34,6
24,43,6
25,20,6
25,21,6
25,22,6
25,26,6
25,28,6
25,29,6
25,31,6
25,32,6
25,34,6
25,36,6
26,19,6
26,20,6
26,21,6
26,25,6
26,27,6
26,28,6
26,30,6
26,33,6
26,35,6
26,37,6
26,41,6
27,19,6
27,20,6
27,26,6
27,27,6
27,29,6
27,31,6
27,32,6
27,33,6
27,34,6
27,36,6
27,38,6
28,18,6
28,20,6
28,25,6
28,26,6
28,29,6
28,33,6
28,35,6
28,37,6
28,39,6
28,42,6
29,18,6
29,19,6
29,25,6
29,27,6
29,28,6
29,30,6
29,31,6
29,32,6
29,34,6
29,36,6
29,38,6
29,40,6
30,18,6
30,19,6
30,20,6
30,24,6
30,26,6
30,29,6
30,30,6
30,33,6
30,35,6
30,37,6
30,39,6
31,18,6
31,19,6
31,20,6
31,25,6
31,27,6
31,29,6
31,31,6
31,32,6
31,36,6
31,38,6
32,18,6
32,19,6
32,20,6
32,24,6
32,25,6
32,27,6
32,29,6
32,31,6
32,32,6
32,34,6
32,37,6
32,39,6
33,18,6
33,19,6
33,20,6
33,26,6
33,27,6
33,28,6
33,30,6
33,33,6
33,35,6
33,37,6
33,38,6
34,18,6
34,19,6
34,20,6
34,24,6
34,25,6
34,27,6
34,29,6
34,32,6
34,34,6
34,36,6
34,37,6
34,39,6
35,18,6
35,26,6
35,28,6
35,30,6
35,33,6
35,35,6
35,37,6
35,38,6
35,42,6
36,18,6
36,21,6
36,25,6
36,27,6
36,29,6
36,31,6
36,34,6
36,36,6
36,37,6
37,19,6
37,26,6
37,28,6
37,30,6
37,32,6
37,33,6
37,34,6
37,35,6
37,36,6
37,38,6
38,19,6
38,20,6
38,27,6
38,29,6
38,31,6
38,33,6
38,35,6
38,37,6
39,20,6
39,28,6
39,30,6
39,32,6
39,34,6
40,21,6
40,29,6
41,22,6
41,26,6
42,23,6
42,28,6
42,35,6
43,24,6
18,28,7
18,29,7
18,30,7
18,31,7
18,32,7
18,33,7
18,34,7
18,35,7
18,36,7
19,26,7
19,27,7
19,29,7
19,30,7
19,31,7
19,32,7
19,33,7
19,34,7
19,37,7
19,38,7
20,25,7
20,26,7
20,27,7
20,28,7
20,30,7
20,31,7
20,32,7
20,33,7
20,34,7
20,38,7
20,39,7
21,24,7
21,25,7
21,26,7
21,36,7
21,40,7
22,23,7
22,24,7
22,25,7
22,41,7
23,22,7
23,23,7
23,24,7
23,42,7
24,21,7
24,22,7
24,23,7
24,30,7
24,32,7
24,34,7
24,43,7
25,20,7
25,21,7
25,22,7
25,26,7
25,28,7
25,29,7
25,31,7
25,32,7
25,34,7
25,36,7
26,19,7
26,20,7
26,21,7
26,25,7
26,27,7
26,28,7
26,30,7
26,33,7
26,35,7
26,37,7
26,41,7
27,19,7
27,20,7
27,26,7
27,27,7
27,29,7
27,31,7
27,32,7
27,33,7
27,34,7
27,36,7
27,38,7
28,18,7
28,20,7
28,25,7
28,26,7
28,29,7
28,33,7
28,35,7
28,37,7
28,39,7
28,42,7
29,18,7
29,19,7
29,25,7
29,27,7
29,28,7
29,30,7
29,31,7
29,32,7
29,34,7
29,36,7
29,38,7
29,40,7
30,18,7
30,19,7
30,20,7
30,24,7
30,26,7
30,29,7
30,30,7
30,33,7
30,35,7
30,37,7
30,39,7
31,18,7
31,19,7
31,20,7
31,25,7
31,27,7
31,29,7
31,31,7
31,32,7
31,36,7
31,38,7
32,18,7
32,19,7
32,20,7
32,24,7
32,25,7
32,27,7
32,29,7
32,31,7
32,32,7
32,34,7
32,37,7
32,39,7
33,18,7
33,19,7
33,20,7
33,26,7
33,27,7
33,28,7
33,30,7
33,33,7
33,35,7
33,37,7
33,38,7
34,18,7
34,19,7
34,20,7
34,24,7
34,25,7
34,27,7
34,29,7
34,32,7
34,34,7
34,36,7
34,37,7
34,39,7
35,18,7
35,26,7
35,28,7
35,30,7
35,33,7
35,35,7
35,37,7
35,38,7
35,42,7
36,18,7
36,21,7
36,25,7
36,27,7
36,29,7
36,31,7
36,34,7
36,36,7
36,37,7
37,19,7
37,26,7
37,28,7
37,30,7
37,32,7
37,33,7
37,34,7
37,35,7
37,36,7
37,38,7
38,19,7
38,20,7
38,27,7
38,29,7
38,31,7
38,33,7
38,35,7
38,37,7
39,20,7
39,28,7
39,30,7
39,32,7
39,34,7
40,21,7
40,29,7
41,22,7
41,26,7
42,23,7
42,28,7
42,35,7
43,24,7
18,28,8
18,29,8
18,30,8
18,31,8
18,32,8
18,33,8
18,34,8
18,35,8
18,36,8
19,26,8
19,27,8
19,29,8
19,30,8
19,31,8
19,32,8
19,33,8
19,34,8
19,37,8
19,38,8
20,25,8
20,26,8
20,27,8
20,28,8
20,30,8
20,31,8
20,32,8
20,33,8
20,34,8
20,38,8
20,39,8
21,24,8
21,25,8
21,26,8
21,36,8
21,40,8
22,23,8
22,24,8
22,25,8
22,41,8
23,22,8
23,23,8
23,24,8
23,42,8
24,21,8
24,22,8
24,23,8
24,30,8
24,32,8
24,34,8
24,43,8
25,20,8
25,21,8
25,22,8
25,26,8
25,28,8
25,29,8
25,31,8
25,32,8
25,34,8
25,36,8
26,19,8
26,20,8
26,21,8
26,25,8
26,27,8
26,28,8
26,30,8
26,33,8
26,35,8
26,37,8
26,41,8
27,19,8
27,20,8
27,26,8
27,27,8
27,29,8
27,31,8
27,32,8
27,33,8
27,34,8
27,36,8
27,38,8
28,18,8
28,20,8
28,25,8
28,26,8
28,29,8
28,33,8
28,35,8
28,37,8
28,39,8
28,42,8
29,18,8
29,19,8
29,25,8
29,27,8
29,28,8
29,30,8
29,31,8
29,32,8
29,34,8
29,36,8
29,38,8
29,40,8
30,18,8
30,19,8
30,20,8
30,24,8
30,26,8
30,29,8
30,30,8
30,33,8
30,35,8
30,37,8
30,39,8
31,18,8
31,19,8
31,20,8
31,25,8
31,27,8
31,29,8
31,31,8
31,32,8
31,36,8
31,38,8
32,18,8
32,19,8
32,20,8
32,24,8
32,25,8
32,27,8
32,29,8
32,31,8
32,32,8
32,34,8
32,37,8
32,39,8
33,18,8
33,19,8
33,20,8
33,26,8
33,27,8
33,28,8
33,30,8
33,33,8
33,35,8
33,37,8
33,38,8
34,18,8
34,19,8
34,20,8
34,24,8
34,25,8
34,27,8
34,29,8
34,32,8
34,34,8
34,36,8
34,37,8
34,39,8
35,18,8
35,26,8
35,28,8
35,30,8
35,33,8
35,35,8
35,37,8
35,38,8
35,42,8
36,18,8
36,21,8
36,25,8
36,27,8
36,29,8
36,31,8
36,34,8
36,36,8
36,37,8
37,19,8
37,26,8
37,28,8
37,30,8
37,32,8
37,33,8
37,34,8
37,35,8
37,36,8
37,38,8
38,19,8
38,20,8
38,27,8
38,29,8
38,31,8
38,33,8
38,35,8
38,37,8
39,20,8
39,28,8
39,30,8
39,32,8
39,34,8
40,21,8
40,29,8
41,22,8
41,26,8
42,23,8
42,28,8
42,35,8
43,24,8
18,28,9
18,29,9
18,30,9
18,31,9
18,32,9
18,33,9
18,34,9
18,35,9
18,36,9
19,26,9
19,27,9
19,29,9
19,30,9
19,31,9
19,32,9
19,33,9
19,34,9
19,37,9
19,38,9
20,25,9
20,26,9
20,27,9
20,28,9
20,30,9
20,31,9
20,32,9
20,33,9
20,34,9
20,38,9
20,39,9
21,24,9
21,25,9
21,26,9
21,36,9
21,40,9
22,23,9
22,24,9
22,25,9
22,41,9
23,22,9
23,23,9
23,24,9
23,42,9
24,21,9
24,22,9
24,23,9
24,30,9
24,32,9
24,34,9
24,43,9
25,20,9
25,21,9
25,22,9
25,26,9
25,28,9
25,29,9
25,31,9
25,32,9
25,34,9
25,36,9
26,19,9
26,20,9
26,21,9
26,25,9
26,27,9
26,28,9
26,30,9
26,33,9
26,35,9
26,37,9
26,41,9
27,19,9
27,20,9
27,26,9
27,27,9
27,29,9
27,31,9
27,32,9
27,33,9
27,34,9
27,36,9
27,38,9
28,18,9
28,20,9
28,25,9
28,26,9
28,29,9
28,33,9
28,35,9
28,37,9
28,39,9
28,42,9
29,18,9
29,19,9
29,25,9
29,27,9
29,28,9
29,30,9
29,31,9
29,32,9
29,34,9
29,36,9
29,38,9
29,40,9
30,18,9
30,19,9
30,20,9
30,24,9
30,26,9
30,29,9
30,30,9
30,33,9
30,35,9
30,37,9
30,39,9
31,18,9
31,19,9
31,20,9
31,25,9
31,27,9
31,29,9
31,31,9
31,32,9
31,36,9
31,38,9
32,18,9
32,19,9
32,20,9
32,24,9
32,25,9
32,27,9
32,29,9
32,31,9
32,32,9
32,34,9
32,37,9
32,39,9
33,18,9
33,19,9
33,20,9
