i,j,k
20,28,1
20,29,1
20,30,1
20,31,1
20,32,1
20,33,1
20,34,1
20,35,1
21,26,1
21,27,1
21,28,1
21,29,1
21,30,1
21,31,1
21,32,1
21,33,1
21,34,1
21,35,1
21,36,1
21,37,1
22,25,1
22,26,1
22,27,1
22,36,1
22,37,1
22,38,1
23,24,1
23,25,1
23,38,1
23,39,1
24,23,1
24,24,1
24,39,1
24,40,1
25,22,1
25,23,1
25,40,1
25,41,1
26,21,1
26,22,1
26,41,1
26,42,1
27,21,1
27,22,1
27,41,1
27,42,1
28,20,1
28,21,1
28,42,1
28,43,1
29,20,1
29,21,1
29,42,1
29,43,1
30,20,1
30,21,1
30,42,1
30,43,1
31,20,1
31,21,1
31,42,1
31,43,1
32,20,1
32,21,1
32,42,1
32,43,1
33,20,1
33,21,1
33,42,1
33,43,1
34,20,1
34,21,1
34,42,1
34,43,1
35,20,1
35,21,1
35,42,1
35,43,1
36,21,1
36,22,1
36,41,1
36,42,1
37,21,1
37,22,1
37,41,1
37,42,1
38,22,1
38,23,1
38,40,1
38,41,1
39,23,1
39,24,1
39,39,1
39,40,1
40,24,1
40,25,1
40,38,1
40,39,1
41,25,1
41,26,1
41,27,1
41,36,1
41,37,1
41,38,1
42,26,1
42,27,1
42,28,1
42,29,1
42,30,1
42,31,1
42,32,1
42,33,1
42,34,1
42,35,1
42,36,1
42,37,1
43,28,1
43,29,1
43,30,1
43,31,1
43,32,1
43,33,1
43,34,1
43,35,1
20,28,2
20,29,2
20,30,2
20,31,2
20,32,2
20,33,2
20,34,2
20,35,2
21,26,2
21,27,2
21,28,2
21,29,2
21,30,2
21,31,2
21,32,2
21,33,2
21,34,2
21,35,2
21,36,2
21,37,2
22,25,2
22,26,2
22,27,2
22,36,2
22,37,2
22,38,2
23,24,2
23,25,2
23,38,2
23,39,2
24,23,2
24,24,2
24,39,2
24,40,2
25,22,2
25,23,2
25,40,2
25,41,2
26,21,2
26,22,2
26,41,2
26,42,2
27,21,2
27,22,2
27,41,2
27,42,2
28,20,2
28,21,2
28,42,2
28,43,2
29,20,2
29,21,2
29,42,2
29,43,2
30,20,2
30,21,2
30,42,2
30,43,2
31,20,2
31,21,2
31,42,2
31,43,2
32,20,2
32,21,2
32,42,2
32,43,2
33,20,2
33,21,2
33,42,2
33,43,2
34,20,2
34,21,2
34,42,2
34,43,2
35,20,2
35,21,2
35,42,2
35,43,2
36,21,2
36,22,2
36,41,2
36,42,2
37,21,2
37,22,2
37,41,2
37,42,2
38,22,2
38,23,2
38,40,2
38,41,2
39,23,2
39,24,2
39,39,2
39,40,2
