,Theta,T,u / c
0,20.439999999999998,0.025,0.17334803787035602
1,14.6062660944206,0.034984984984984986,0.20364841885599416
2,11.36313856427379,0.04496996996996997,0.229321849088618
3,9.298524590163934,0.054954954954954956,0.2518151972180928
4,7.868809248554914,0.06493993993993993,0.2719425628817959
5,6.820160320641283,0.07492492492492492,0.29021749146162124
6,6.0181432360742715,0.0849099099099099,0.30698945196879973
7,5.38490506329114,0.09489489489489489,0.3225095017750914
8,4.872240515390122,0.10487987987987987,0.3369654964096816
9,4.448705882352941,0.11486486486486486,0.35050253317151714
10,4.092916416115455,0.12484984984984984,0.3632355701539492
11,3.789821826280624,0.13483483483483483,0.37525760363641064
12,3.5285225505443236,0.1448198198198198,0.38664518149359384
13,3.300931134820563,0.1548048048048048,0.39746224506474037
14,3.1009202733485197,0.16478978978978978,0.40776288189559756
15,2.923762886597938,0.17477477477477477,0.4175933457524012
16,2.7657537586347014,0.18475975975975975,0.4269935699210111
17,2.6239475713184275,0.19474474474474474,0.4359983215989547
18,2.495973597359736,0.20472972972972972,0.44463809667349796
19,2.379902097902098,0.2147147147147147,0.45293982318306525
20,2.274146341463415,0.2246996996996997,0.46092742143468984
21,2.1773896353166986,0.23468468468468467,0.4686222551112468
22,2.0885302239950905,0.24466966966966966,0.47604349835833526
23,2.0066391509433963,0.25465465465465464,0.48320843731885726
24,1.930927659574468,0.26463963963963966,0.4901327199537266
25,1.8607217058501915,0.2746246246246246,0.4968305646498687
26,1.795441835927196,0.2846096096096096,0.5033149356769718
27,1.7345871559633028,0.2945945945945946,0.509597691747748
28,1.6777224550160217,0.3045795795795796,0.515689712582615
29,1.6244677804295942,0.3145645645645646,0.5216010073539223
30,1.5744899375433725,0.32454954954954957,0.5273408080997911
31,1.527495511669659,0.3345345345345345,0.5329176505910119
32,1.4832251035083897,0.34451951951951953,0.5383394446616512
33,1.4414485387547649,0.35450450450450455,0.5436135356423694
34,1.4019608650875386,0.3644894894894895,0.5487467582411811
35,1.36457898957498,0.37447447447447446,0.5537454839815898
36,1.3291388400702988,0.3844594594594595,0.5586156631194503
37,1.2954929577464787,0.3944444444444445,0.5633628618074987
38,1.2635084462595136,0.40442942942942944,0.5679922951525201
39,1.2330652173913044,0.4144144144144144,0.5725088567087407
40,1.2040544843445957,0.4243993993993994,0.5769171448676633
41,1.176377462841341,0.4343843843843844,0.581221486535659
42,1.1499442473390775,0.4443693693693694,0.5854259584333988
43,1.1246728354263054,0.45435435435435434,0.5895344063034437
44,1.1004882780921585,0.46433933933933935,0.5935504622723109
45,1.0773219373219372,0.47432432432432436,0.5974775605796357
46,1.0551108355293752,0.4843093093093093,0.6013189518585996
47,1.0337970838396113,0.4942942942942943,0.605077716127658
48,1.0133273782938812,0.5042792792792793,0.6087567746330423
49,0.9936525547445255,0.5142642642642643,0.6123589006639755
50,0.9747271946154948,0.5242492492492492,0.6158867294474819
51,0.9565092748735246,0.5342342342342342,0.6193427672167425
52,0.9389598565319355,0.5442192192192192,0.6227293995357907
53,0.922042806827418,0.5542042042042042,0.6260488989536862
54,0.9057245508982037,0.5641891891891891,0.6293034320529479
55,0.889973849372385,0.5741741741741742,0.6324950659497204
56,0.8747615987662254,0.5841591591591592,0.6356257742968253
57,0.8600606520090978,0.5941441441441442,0.6386974428352733
58,0.8458456567664967,0.6041291291291292,0.6417118745349594
59,0.8320929095354523,0.6141141141141141,0.6446707943609852
60,0.8187802237459401,0.6240990990990991,0.6475758536982827
61,0.8058868103244139,0.6340840840840841,0.6504286344639048
62,0.7933931693670592,0.644069069069069,0.6532306529333936
63,0.7812809917355372,0.654054054054054,0.655983363305052
64,0.7695330695308084,0.664039039039039,0.658688161023621
65,0.758133214524393,0.6740240240240241,0.6613463858828164
66,0.747066183733948,0.6840090090090091,0.6639593249243476
67,0.7363176114236262,0.693993993993994,0.6665282151494001
68,0.7258739468913299,0.703978978978979,0.6690542460571067
69,0.7157223974763407,0.713963963963964,0.6715385620232242
70,0.7058508762833143,0.7239489489489489,0.6739822645310474
71,0.6962479541734862,0.7339339339339339,0.6763864142655531
72,0.6869028156221617,0.7439189189189189,0.6787520330807957
73,0.677805218084047,0.7539039039039039,0.6810801058497344
74,0.6689454545454545,0.763888888888889,0.683371582204899
75,0.660314318975553,0.7738738738738739,0.6856273781775856
76,0.6519030744181592,0.7838588588588589,0.6878483777426666
77,0.6437034234915832,0.7938438438438439,0.6900354342755003
78,0.6357074810871393,0.8038288288288288,0.6921893719269226
79,0.6279077490774908,0.8138138138138138,0.6943109869218236
80,0.6202970928643033,0.8237987987987988,0.6964010487863802
81,0.6128687196110211,0.8337837837837838,0.6984603015086285
82,0.6056161580211762,0.8437687687687688,0.7004894646366985
83,0.5985332395357017,0.8537537537537537,0.7024892343187082
84,0.5916140808344198,0.8637387387387387,0.7044602842880208
85,0.5848530675373775,0.8737237237237238,0.7064032667972815
86,0.5782448390111291,0.8837087087087087,0.708318813504425
87,0.5717842741935484,0.8936936936936937,0.7102075363135861
88,0.5654664783583949,0.9036786786786787,0.7120700281736629
89,0.5592867707477404,0.9136636636636637,0.7139068638370676
90,0.5532406730065837,0.9236486486486487,0.7157186005810368
91,0.5473238983596012,0.9336336336336336,0.7175057788937019
92,0.5415323414750577,0.9436186186186186,0.7192689231269711
93,0.5358620689655172,0.9536036036036036,0.7210085421181384
94,0.5303093104791586,0.9635885885885885,0.7227251297820013
95,0.5248704503392968,0.9735735735735735,0.7244191656751575
96,0.5195420196931532,0.9835585585585586,0.726091115534036
